CustomerID,Gender,Age,Tenure,SubscriptionType,MonthlyCharges,TotalCharges,InternetUsageGB,CallsPerMonth,Complaints,PaymentMethod,ContractType,HasDependents,Churn
10001,Male,45,32,Basic,46.9,1563.99,38.28,27,1,Credit Card,Month-to-Month,No,Yes
10002,Female,39,3,Standard,45.25,121.78,196.96,30,1,Online,Month-to-Month,No,Yes
10003,Male,62,22,Premium,125.47,2759.91,66.05,72,1,Bank Transfer,Month-to-Month,No,Yes
10004,Male,33,68,Standard,93.29,6422.7,35.04,124,0,Cash,Month-to-Month,Yes,No
10005,Male,30,52,Standard,73.81,3756.45,194.89,90,0,Bank Transfer,Month-to-Month,No,No
10006,Female,53,4,Basic,88.05,407.37,22.21,77,0,Credit Card,Two Year,No,Yes
10007,Male,53,17,Basic,147.13,2535.5,139.93,128,1,Credit Card,Month-to-Month,No,Yes
10008,Male,79,16,Basic,136.24,2109.55,21.33,34,1,Bank Transfer,Month-to-Month,No,Yes
10009,Male,60,57,Standard,85.98,4884.31,3.2,17,0,Credit Card,Month-to-Month,No,No
10010,Female,40,66,Basic,91.13,6060.22,155.54,37,0,Online,Month-to-Month,Yes,No
10011,Male,31,71,Basic,99.85,7134.23,9.54,93,0,Credit Card,Month-to-Month,No,No
10012,Male,49,55,Standard,122.81,6792.75,84.28,70,0,Cash,Month-to-Month,Yes,Yes
10013,Male,20,39,Standard,133.59,5141.19,145.12,110,0,Credit Card,Month-to-Month,No,Yes
10014,Male,44,1,Standard,39.05,94.56,136.72,123,1,Bank Transfer,Month-to-Month,No,Yes
10015,Female,36,20,Premium,101.66,1959.61,6.22,109,1,Credit Card,Month-to-Month,Yes,No
10016,Male,39,51,Standard,49.53,2622.21,6.56,115,0,Credit Card,Month-to-Month,Yes,Yes
10017,Female,74,23,Basic,100.83,2250.1,73.21,125,0,Bank Transfer,One Year,No,No
10018,Female,18,52,Standard,42.27,2216.66,174.98,82,0,Bank Transfer,One Year,No,No
10019,Female,22,37,Basic,125.04,4681.55,180.37,149,0,Credit Card,Month-to-Month,Yes,Yes
10020,Male,66,19,Standard,105.92,1913.96,98.08,63,0,Bank Transfer,Month-to-Month,Yes,No
10021,Female,50,49,Standard,132.58,6540.42,33.56,43,1,Bank Transfer,Month-to-Month,No,No
10022,Male,68,38,Standard,142.78,5370.46,148.72,40,1,Credit Card,Month-to-Month,Yes,Yes
10023,Female,36,59,Basic,141.41,8279.34,65.58,62,1,Online,Two Year,No,No
10024,Female,53,38,Basic,38.87,1391.91,195.14,126,1,Credit Card,Month-to-Month,Yes,Yes
10025,Female,68,70,Standard,68.99,4767.54,156.12,127,0,Bank Transfer,Month-to-Month,Yes,No
10026,Female,23,32,Basic,82.8,2671.58,20.31,47,0,Credit Card,One Year,Yes,No
10027,Female,77,28,Premium,122.56,3531.5,157.81,55,0,Credit Card,Month-to-Month,No,No
10028,Female,32,9,Premium,21.93,210.89,168.72,30,1,Bank Transfer,Month-to-Month,No,Yes
10029,Female,53,66,Standard,140.31,9281.41,79.23,117,0,Credit Card,Two Year,No,No
10030,Female,73,2,Premium,72.94,123.75,26.46,147,0,Credit Card,Month-to-Month,No,No
10031,Male,50,30,Standard,102.04,2968.71,105.27,91,0,Online,One Year,No,No
10032,Male,41,26,Basic,147.48,3880.83,151.38,75,2,Online,Month-to-Month,No,No
10033,Female,44,69,Standard,134.75,9213.4,199.52,149,0,Credit Card,Month-to-Month,No,No
10034,Female,66,26,Basic,67.08,1787.88,181.33,143,1,Online,Two Year,No,No
10035,Female,28,8,Standard,82.99,730.8,183.41,113,1,Credit Card,One Year,Yes,No
10036,Male,66,5,Basic,120.09,545.19,149.86,110,0,Online,One Year,No,Yes
10037,Female,40,5,Premium,116.66,638.45,155.55,79,0,Bank Transfer,Month-to-Month,Yes,No
10038,Male,50,25,Standard,111.62,2872.92,73.16,66,0,Bank Transfer,Two Year,No,No
10039,Male,58,42,Basic,21.39,909.89,26.4,134,0,Bank Transfer,Two Year,No,No
10040,Male,63,18,Premium,45.87,811.12,199.67,135,1,Bank Transfer,Month-to-Month,Yes,No
10041,Male,64,15,Premium,48.82,742.6,5.85,101,0,Bank Transfer,Month-to-Month,No,No
10042,Male,73,22,Premium,52.58,1217.86,105.06,28,0,Credit Card,Month-to-Month,No,No
10043,Female,46,28,Standard,32.5,933.31,131.84,65,0,Cash,Month-to-Month,Yes,Yes
10044,Female,48,37,Standard,124.86,4632.66,101.11,22,1,Cash,Month-to-Month,Yes,No
10045,Female,18,58,Basic,64.37,3714.57,102.23,77,1,Bank Transfer,Month-to-Month,Yes,Yes
10046,Female,51,47,Basic,120.83,5584.18,95.46,132,1,Online,One Year,Yes,Yes
10047,Female,35,19,Basic,141.1,2610.32,117.89,123,0,Credit Card,Month-to-Month,Yes,Yes
10048,Male,35,20,Basic,60.69,1216.23,93.7,66,0,Online,Month-to-Month,Yes,No
10049,Female,23,27,Basic,78.99,2161.9,114.11,10,0,Credit Card,Month-to-Month,No,Yes
10050,Female,69,49,Standard,31.38,1473.47,16.49,142,1,Bank Transfer,One Year,No,No
10051,Male,57,32,Basic,58.33,1902.39,79.24,58,1,Bank Transfer,Month-to-Month,No,No
10052,Female,18,39,Basic,91.01,3554.1,190.5,81,0,Bank Transfer,Month-to-Month,No,No
10053,Male,64,53,Standard,43.42,2335.31,108.86,112,0,Cash,Month-to-Month,Yes,No
10054,Female,59,9,Basic,89.81,813.74,193.1,51,0,Cash,Month-to-Month,No,Yes
10055,Male,47,33,Basic,60.67,1987.69,71.53,112,0,Credit Card,Month-to-Month,Yes,No
10056,Female,21,72,Standard,148.71,10669.99,14.43,97,0,Credit Card,Month-to-Month,No,Yes
10057,Female,49,35,Basic,68.84,2342.62,4.83,32,0,Online,Month-to-Month,No,No
10058,Male,27,6,Premium,25.08,67.71,180.81,58,0,Credit Card,Month-to-Month,Yes,Yes
10059,Male,60,15,Standard,81.48,1293.5,59.21,119,1,Credit Card,Month-to-Month,No,No
10060,Male,22,50,Standard,63.42,3179.68,53.1,54,0,Online,Two Year,No,No
10061,Male,26,60,Basic,68.1,4183.53,179.96,30,0,Online,Month-to-Month,Yes,No
10062,Male,22,30,Basic,68.17,2113.87,33.99,136,0,Cash,Month-to-Month,Yes,No
10063,Male,78,31,Standard,134.55,4094.42,88.11,36,0,Online,One Year,No,No
10064,Male,28,44,Premium,84.77,3804.12,189.93,46,0,Credit Card,Month-to-Month,Yes,No
10065,Male,52,26,Standard,52.87,1429.86,127.52,118,0,Bank Transfer,Month-to-Month,No,No
10066,Female,44,21,Standard,123.03,2681.16,192.7,97,1,Online,Month-to-Month,No,No
10067,Female,21,14,Basic,77.65,1164.83,49.07,124,0,Online,One Year,No,Yes
10068,Male,27,7,Standard,38.9,243.77,57.73,114,0,Bank Transfer,One Year,No,Yes
10069,Female,56,67,Basic,149.8,10064.98,135.56,106,0,Bank Transfer,Two Year,No,No
10070,Female,50,7,Basic,23.56,192.39,198.64,40,0,Credit Card,Month-to-Month,Yes,Yes
10071,Female,76,15,Standard,112.2,1771.25,136,83,0,Cash,Month-to-Month,Yes,Yes
10072,Female,55,47,Basic,130.18,6053.06,144.99,133,1,Online,Month-to-Month,No,Yes
10073,Male,25,33,Standard,66,2166.24,37.21,138,0,Bank Transfer,Month-to-Month,Yes,Yes
10074,Female,66,56,Premium,40.45,2281.43,163.66,103,0,Online,Two Year,Yes,No
10075,Male,41,4,Basic,76.75,208.2,143.81,29,0,Online,Month-to-Month,No,Yes
10076,Female,56,43,Basic,82.72,3486.21,93.81,39,0,Bank Transfer,One Year,No,No
10077,Female,50,70,Basic,149.96,10526.66,114.33,59,1,Cash,Month-to-Month,No,Yes
10078,Female,58,36,Basic,22.53,805.54,125.1,27,0,Online,Month-to-Month,No,No
10079,Male,60,27,Standard,105.26,2793.72,17.11,62,1,Cash,Month-to-Month,Yes,No
10080,Female,36,67,Basic,124.58,8284.72,193.8,42,1,Credit Card,Month-to-Month,Yes,Yes
10081,Male,19,37,Standard,100.33,3763.27,122.52,32,0,Bank Transfer,Month-to-Month,No,No
10082,Female,72,45,Standard,101.89,4584.47,111.9,66,1,Online,Month-to-Month,No,No
10083,Male,28,72,Basic,133.79,9590.58,108.65,66,1,Cash,Month-to-Month,Yes,Yes
10084,Female,52,25,Standard,93.47,2305.16,195.78,128,1,Credit Card,Month-to-Month,No,Yes
10085,Male,34,52,Premium,134.61,7052.23,181.93,18,1,Cash,Month-to-Month,No,No
10086,Male,59,62,Basic,47.32,2908.76,50.42,116,0,Bank Transfer,Month-to-Month,No,No
10087,Female,78,62,Standard,87.1,5378.78,7.91,47,0,Credit Card,Month-to-Month,No,No
10088,Male,20,37,Standard,24.37,904.87,153.03,66,0,Bank Transfer,Month-to-Month,Yes,Yes
10089,Female,39,14,Standard,124.45,1654.31,46.03,129,0,Credit Card,Month-to-Month,No,No
10090,Female,52,8,Basic,121.05,1012.52,29.36,137,0,Bank Transfer,Two Year,No,Yes
10091,Female,38,21,Premium,90.08,1809.69,199.83,94,1,Online,Month-to-Month,Yes,No
10092,Female,42,69,Standard,71.46,5008,81.19,52,2,Bank Transfer,Month-to-Month,No,Yes
10093,Female,56,55,Standard,68.11,3754.38,148.86,84,0,Bank Transfer,Month-to-Month,Yes,No
10094,Female,19,36,Standard,46.14,1749.35,64.33,65,0,Credit Card,Month-to-Month,No,Yes
10095,Female,18,56,Premium,75.63,4215.77,6.05,72,0,Credit Card,Month-to-Month,No,No
10096,Female,24,59,Premium,59.51,3607.77,46.7,116,2,Bank Transfer,Month-to-Month,Yes,No
10097,Female,37,11,Premium,95.1,1068.06,15.61,68,0,Credit Card,Month-to-Month,No,Yes
10098,Female,60,6,Basic,122.24,658.12,25.65,85,0,Cash,Two Year,No,No
10099,Female,72,65,Basic,110.24,7178.14,159.7,33,0,Bank Transfer,Two Year,No,No
10100,Male,23,40,Standard,86.81,3382.87,185.32,144,0,Bank Transfer,One Year,No,No
10101,Male,72,23,Basic,143.32,3284.38,192.77,94,0,Online,Month-to-Month,No,No
10102,Female,53,24,Standard,45.65,1130.22,80.27,105,0,Bank Transfer,Month-to-Month,Yes,Yes
10103,Female,68,61,Basic,103.2,6222.16,57.67,87,0,Credit Card,Month-to-Month,No,No
10104,Female,77,43,Standard,31.45,1285.2,159.1,61,0,Credit Card,Two Year,Yes,No
10105,Female,38,1,Standard,107.49,159.95,94.01,15,1,Online,Two Year,Yes,No
10106,Female,68,41,Standard,114.29,4640.33,164.54,46,0,Online,One Year,Yes,No
10107,Female,63,32,Basic,121.74,3966.53,168.91,50,0,Bank Transfer,One Year,Yes,No
10108,Female,52,16,Premium,106.29,1723.49,192.56,127,0,Cash,Month-to-Month,No,No
10109,Female,53,62,Standard,35.94,2237.63,67.92,86,2,Bank Transfer,One Year,No,No
10110,Male,25,21,Standard,25.76,519.96,56.13,15,2,Online,Two Year,Yes,No
10111,Female,67,0,Standard,112.85,91.78,108.9,35,1,Online,Month-to-Month,Yes,No
10112,Male,21,69,Standard,123.77,8565.02,97.8,82,1,Credit Card,Two Year,No,No
10113,Female,60,53,Basic,24.24,1200.36,190.09,97,1,Cash,Two Year,No,No
10114,Female,33,13,Basic,39.49,495.03,66.85,43,0,Credit Card,One Year,No,No
10115,Male,20,52,Premium,122.74,6307.04,145.41,77,1,Credit Card,Month-to-Month,Yes,No
10116,Female,24,5,Basic,145.82,776.02,72.59,63,0,Cash,Month-to-Month,Yes,Yes
10117,Male,19,63,Standard,87.67,5473.21,4.12,20,2,Bank Transfer,Month-to-Month,No,Yes
10118,Female,18,32,Basic,39.93,1181.03,15.22,105,0,Bank Transfer,One Year,No,No
10119,Female,75,71,Standard,61.76,4483.82,30.15,55,2,Cash,Month-to-Month,Yes,No
10120,Male,18,43,Basic,121.59,5222.79,82.08,18,2,Credit Card,One Year,No,No
10121,Female,55,33,Standard,90.62,2897.44,137.34,87,0,Credit Card,Month-to-Month,Yes,Yes
10122,Male,68,33,Premium,27.51,898.81,75.81,76,0,Credit Card,Two Year,No,No
10123,Female,24,23,Standard,60.09,1336.68,162.77,28,0,Bank Transfer,Two Year,Yes,No
10124,Male,41,1,Standard,117.86,163.1,188.33,108,2,Credit Card,One Year,Yes,No
10125,Male,22,7,Standard,62.35,337.98,185.35,145,0,Bank Transfer,Month-to-Month,Yes,Yes
10126,Female,38,24,Standard,76.2,1756.19,6.05,137,0,Bank Transfer,Two Year,Yes,No
10127,Female,45,31,Basic,137.66,4238.23,4.67,99,0,Online,One Year,Yes,Yes
10128,Male,35,55,Basic,148,8119.35,152.67,20,1,Credit Card,One Year,Yes,Yes
10129,Female,41,6,Standard,118.44,708.2,125.36,83,0,Online,Month-to-Month,No,No
10130,Female,75,47,Premium,51.22,2377.98,62.13,103,1,Online,Month-to-Month,Yes,Yes
10131,Female,49,53,Standard,51.61,2715.07,183.05,128,1,Credit Card,Month-to-Month,No,No
10132,Male,62,62,Standard,59.55,3689.06,10.5,42,1,Online,Month-to-Month,No,No
10133,Male,50,72,Standard,40.87,3029.11,51.72,92,1,Cash,Month-to-Month,Yes,No
10134,Male,27,1,Premium,43.25,48.62,54.16,36,2,Cash,One Year,No,No
10135,Male,26,34,Standard,53.28,1797.58,21.71,117,0,Online,Month-to-Month,No,No
10136,Male,66,21,Standard,105.79,2131.16,113.18,111,0,Bank Transfer,Month-to-Month,No,Yes
10137,Male,50,63,Basic,99.62,6206.01,31.63,147,0,Bank Transfer,Month-to-Month,No,No
10138,Male,50,58,Basic,64.32,3781.99,132.42,71,1,Credit Card,Month-to-Month,No,Yes
10139,Male,24,48,Basic,45.57,2279.07,137.09,111,1,Credit Card,One Year,No,No
10140,Male,21,51,Premium,101.12,5133.83,129.88,105,1,Credit Card,Month-to-Month,No,No
10141,Female,45,20,Standard,37.01,832.6,149.19,25,0,Bank Transfer,One Year,No,No
10142,Male,40,11,Standard,39.01,394.75,198.9,75,0,Cash,Month-to-Month,Yes,Yes
10143,Female,70,10,Premium,69.84,788.82,161.45,133,0,Online,One Year,Yes,No
10144,Female,49,53,Premium,93.76,4991.15,92.41,89,1,Online,One Year,No,No
10145,Female,61,69,Standard,114.68,7818.67,58.8,15,0,Credit Card,Month-to-Month,Yes,Yes
10146,Male,33,13,Basic,109.31,1336.66,44.44,20,0,Bank Transfer,Month-to-Month,Yes,Yes
10147,Male,63,32,Basic,69.2,2310.35,168.68,70,1,Credit Card,Month-to-Month,No,Yes
10148,Male,72,25,Basic,105.1,2588.55,156.9,61,0,Bank Transfer,Month-to-Month,Yes,No
10149,Male,27,13,Standard,47.48,520.04,23.18,56,0,Online,Month-to-Month,No,No
10150,Female,31,47,Standard,84.19,3872.56,188.71,86,1,Cash,One Year,No,No
10151,Male,56,64,Basic,99.99,6405.33,106.61,93,1,Bank Transfer,One Year,Yes,Yes
10152,Male,53,45,Standard,116.77,5200.36,24.41,34,0,Cash,Month-to-Month,No,No
10153,Male,51,54,Basic,30.35,1689.72,193.34,138,0,Online,Month-to-Month,No,Yes
10154,Male,41,67,Standard,33.15,2297.92,84.01,27,0,Bank Transfer,Month-to-Month,No,No
10155,Male,35,11,Standard,29.6,298.13,95.5,43,2,Cash,Month-to-Month,No,No
10156,Female,33,53,Standard,91.04,4864.26,138.64,90,0,Credit Card,Month-to-Month,No,No
10157,Male,58,63,Premium,94.11,5973.92,69.7,142,1,Credit Card,One Year,No,No
10158,Female,54,46,Standard,21.43,980.46,9.26,148,0,Online,Month-to-Month,No,No
10159,Male,58,36,Basic,105.37,3745.24,133.45,136,0,Credit Card,Two Year,Yes,No
10160,Female,80,40,Basic,119.23,4820.77,72.42,88,0,Online,One Year,No,No
10161,Male,42,26,Standard,35.16,824.33,126.6,141,2,Credit Card,One Year,Yes,No
10162,Male,79,41,Premium,63.85,2534.37,153.82,60,0,Cash,Month-to-Month,Yes,Yes
10163,Female,25,67,Premium,130.5,8666.91,7.53,61,0,Credit Card,Month-to-Month,No,No
10164,Female,41,28,Premium,109.34,3025.13,129.71,44,2,Bank Transfer,One Year,No,No
10165,Female,37,35,Standard,59.6,2045.65,165.66,132,2,Bank Transfer,One Year,No,No
10166,Male,65,56,Standard,116.49,6486.99,3.51,76,0,Credit Card,One Year,Yes,No
10167,Female,47,11,Standard,135.34,1408.22,65.22,124,0,Credit Card,Month-to-Month,No,Yes
10168,Male,37,44,Standard,60.21,2633.41,138.27,107,2,Bank Transfer,Month-to-Month,No,No
10169,Male,79,19,Basic,108.96,2066.91,168.46,22,0,Bank Transfer,Month-to-Month,No,Yes
10170,Female,35,44,Basic,32.14,1490.58,139.27,128,1,Credit Card,Month-to-Month,No,Yes
10171,Female,21,22,Standard,27.63,693.69,166.08,71,0,Online,Month-to-Month,No,Yes
10172,Male,65,61,Basic,96.21,5835.4,170.31,107,0,Bank Transfer,One Year,No,No
10173,Male,53,33,Premium,84.02,2864.96,158.79,105,1,Cash,Month-to-Month,No,No
10174,Female,23,20,Standard,125.31,2501.3,64.58,21,2,Online,Month-to-Month,Yes,Yes
10175,Female,20,50,Standard,121.44,6140.11,48.99,31,2,Bank Transfer,One Year,Yes,No
10176,Female,35,8,Basic,57.27,359.44,96.57,43,1,Credit Card,One Year,No,Yes
10177,Male,64,9,Standard,86.59,695.81,115.15,91,2,Bank Transfer,One Year,No,Yes
10178,Male,57,51,Standard,118.25,6015.69,7,112,0,Credit Card,One Year,No,No
10179,Male,35,44,Standard,55.22,2408.79,181.64,27,2,Cash,One Year,No,No
10180,Male,73,51,Standard,67.05,3412.07,75.16,75,0,Cash,One Year,No,No
10181,Male,40,29,Premium,27.78,758.53,33.16,106,0,Cash,Month-to-Month,Yes,No
10182,Male,52,63,Standard,36.96,2343.54,42.71,115,1,Online,Month-to-Month,No,Yes
10183,Female,23,1,Standard,99.33,147.16,62.68,100,1,Credit Card,One Year,Yes,No
10184,Male,71,48,Basic,84.58,3986.8,72.78,134,1,Bank Transfer,Month-to-Month,No,No
10185,Male,43,44,Standard,41.92,1853.82,182.82,102,0,Cash,Month-to-Month,No,No
10186,Male,79,16,Premium,20.95,282.54,71.5,25,0,Credit Card,Month-to-Month,No,No
10187,Female,38,27,Premium,41.97,1210.48,47.42,141,1,Cash,Month-to-Month,Yes,No
10188,Male,78,44,Basic,117.45,5249.51,77.99,22,0,Cash,Month-to-Month,No,No
10189,Male,41,16,Standard,32.18,557.15,36.39,18,0,Cash,Month-to-Month,No,No
10190,Female,32,58,Basic,72.32,4127.93,97.68,143,1,Credit Card,Month-to-Month,Yes,No
10191,Male,44,13,Standard,51.04,753.93,185.87,141,0,Online,One Year,Yes,No
10192,Male,49,9,Premium,91.42,870.69,149.84,90,0,Online,One Year,Yes,No
10193,Male,29,17,Standard,86.5,1391.02,178.01,57,0,Online,Month-to-Month,Yes,No
10194,Male,22,34,Standard,147.78,5040.68,195.62,114,0,Bank Transfer,Month-to-Month,Yes,Yes
10195,Male,24,47,Basic,120.47,5685.75,77.35,18,1,Bank Transfer,One Year,Yes,No
10196,Female,39,57,Basic,141.98,8111.28,37.03,89,0,Bank Transfer,Two Year,No,No
10197,Female,44,17,Premium,95.13,1624.24,130.87,71,0,Credit Card,One Year,No,No
10198,Female,32,51,Premium,115.91,5825.33,134.17,111,1,Bank Transfer,One Year,No,No
10199,Male,56,29,Premium,136.36,3893.68,129.33,62,0,Bank Transfer,One Year,No,No
10200,Male,62,36,Basic,25.34,998.71,153.72,129,0,Cash,One Year,Yes,No
10201,Male,74,39,Standard,139.01,5475.69,41.23,105,0,Online,Month-to-Month,No,No
10202,Female,52,5,Basic,47.53,250.85,3.6,125,1,Online,Month-to-Month,Yes,Yes
10203,Male,43,34,Basic,111.65,3813.08,100.61,116,1,Bank Transfer,Month-to-Month,Yes,Yes
10204,Male,40,25,Standard,120.53,2973.02,30.27,139,0,Bank Transfer,Month-to-Month,Yes,Yes
10205,Female,30,29,Standard,34.21,956.74,6.59,57,1,Online,Month-to-Month,Yes,No
10206,Male,43,23,Basic,143.9,3235.63,92.41,60,2,Cash,Month-to-Month,Yes,Yes
10207,Female,20,54,Basic,140.45,7670.01,136.13,119,2,Cash,Month-to-Month,No,Yes
10208,Female,46,8,Standard,105.09,871.94,108.03,102,0,Credit Card,Month-to-Month,No,Yes
10209,Female,19,61,Basic,40.19,2405.35,7.29,29,0,Credit Card,One Year,Yes,No
10210,Male,45,17,Basic,93.59,1633.58,39.66,132,1,Bank Transfer,Month-to-Month,No,Yes
10211,Male,40,50,Standard,64.74,3307.51,86.46,84,0,Bank Transfer,Month-to-Month,No,No
10212,Male,53,18,Basic,141,2578.19,163.45,97,1,Cash,One Year,No,Yes
10213,Male,66,68,Standard,72.87,4910.92,59.83,42,0,Bank Transfer,One Year,No,No
10214,Male,23,32,Premium,110.19,3469.68,171.23,111,1,Bank Transfer,Month-to-Month,Yes,No
10215,Male,28,37,Basic,102.81,3725.39,167.55,110,0,Bank Transfer,Month-to-Month,Yes,No
10216,Male,55,12,Premium,55.23,643.17,125.35,118,1,Cash,Month-to-Month,No,Yes
10217,Female,71,48,Basic,89.61,4386.44,169.27,62,0,Cash,One Year,No,No
10218,Male,51,72,Basic,73.3,5217.49,131.52,143,0,Bank Transfer,Month-to-Month,No,No
10219,Female,34,52,Standard,68.7,3568.49,38.63,13,1,Cash,One Year,No,No
10220,Male,20,0,Standard,132.32,0,3.32,137,0,Credit Card,Month-to-Month,Yes,No
10221,Male,61,11,Standard,38.17,488.65,119.64,108,0,Credit Card,One Year,No,No
10222,Male,63,23,Basic,73.35,1711.32,41.89,27,0,Credit Card,Month-to-Month,No,Yes
10223,Female,51,0,Standard,20.88,0,122.46,51,0,Credit Card,Month-to-Month,No,Yes
10224,Female,39,67,Premium,54.05,3546.94,44.34,124,2,Cash,Month-to-Month,No,No
10225,Female,46,6,Premium,100.83,631.01,26.35,98,2,Cash,Two Year,Yes,No
10226,Female,77,68,Standard,31.38,2141.14,84.77,148,1,Credit Card,Month-to-Month,Yes,No
10227,Male,71,38,Standard,55.25,2196.22,150.03,111,0,Credit Card,Month-to-Month,No,No
10228,Female,46,31,Premium,134.43,4161.19,47.92,132,0,Credit Card,One Year,No,No
10229,Male,22,48,Standard,109.94,5208.75,167.91,41,1,Bank Transfer,Month-to-Month,No,Yes
10230,Male,27,30,Premium,29.14,943.69,178.63,57,2,Bank Transfer,Month-to-Month,Yes,No
10231,Female,27,2,Premium,149.01,376.94,51.95,146,1,Online,Two Year,Yes,Yes
10232,Female,70,46,Standard,142.87,6492.59,52.61,62,1,Online,Month-to-Month,Yes,No
10233,Female,26,14,Basic,38.42,603.26,71.97,99,1,Bank Transfer,One Year,Yes,Yes
10234,Female,79,50,Standard,139.84,6944.27,142.68,72,0,Bank Transfer,Month-to-Month,No,No
10235,Female,38,20,Premium,91.49,1837.46,25.44,10,0,Bank Transfer,Month-to-Month,Yes,No
10236,Female,30,40,Basic,140.82,5651.42,159.08,15,0,Online,One Year,No,No
10237,Female,27,2,Basic,145.85,370.7,103.83,19,0,Bank Transfer,One Year,Yes,Yes
10238,Female,55,0,Basic,110.16,0,120.02,71,0,Credit Card,Two Year,Yes,No
10239,Male,28,20,Premium,57.87,1061.34,163.03,85,0,Credit Card,One Year,No,No
10240,Female,21,20,Standard,140.21,2823.56,21.04,82,0,Credit Card,Month-to-Month,Yes,No
10241,Female,75,48,Basic,94.55,4564.33,173.32,44,0,Credit Card,Two Year,Yes,No
10242,Male,63,64,Basic,64.4,4214.67,188.67,53,2,Online,One Year,Yes,Yes
10243,Female,79,40,Standard,79.8,3111.99,137.49,74,2,Credit Card,Month-to-Month,Yes,Yes
10244,Male,48,66,Standard,72.81,4787.02,153.98,32,0,Cash,Two Year,Yes,No
10245,Male,66,41,Basic,141.59,5847.42,26.52,108,0,Credit Card,Month-to-Month,No,No
10246,Female,69,68,Premium,126.58,8618.64,104,87,1,Online,Month-to-Month,No,Yes
10247,Male,51,56,Standard,24.08,1439.28,50.5,66,0,Credit Card,Month-to-Month,No,Yes
10248,Male,59,42,Standard,21.28,811.49,158.89,74,1,Credit Card,One Year,Yes,No
10249,Male,52,11,Premium,29.02,248.46,158.94,42,0,Credit Card,Month-to-Month,Yes,Yes
10250,Male,56,63,Basic,99.35,6281.88,76.76,148,1,Cash,Month-to-Month,No,No
10251,Female,56,50,Standard,125.88,6319.77,142.89,10,0,Cash,Month-to-Month,No,Yes
10252,Male,50,72,Standard,86.94,6252.79,104.63,121,0,Online,Month-to-Month,Yes,Yes
10253,Female,25,59,Premium,89.51,5329.13,103.06,113,1,Credit Card,Month-to-Month,Yes,Yes
10254,Male,49,70,Basic,51.25,3554.42,133.89,74,1,Credit Card,Month-to-Month,No,Yes
10255,Male,72,27,Standard,79.71,2106.96,117.62,40,0,Online,Month-to-Month,No,No
10256,Male,50,70,Standard,53.39,3674.86,34.12,135,0,Cash,Month-to-Month,No,No
10257,Male,25,13,Premium,55.62,744.38,124.84,131,0,Bank Transfer,Two Year,Yes,No
10258,Female,63,31,Premium,70.85,2257.23,86.41,40,0,Online,Month-to-Month,Yes,No
10259,Female,31,7,Basic,26.18,89.24,90.66,82,0,Credit Card,Month-to-Month,No,Yes
10260,Male,51,26,Basic,144.14,3679.76,159.81,118,2,Credit Card,Month-to-Month,Yes,Yes
10261,Male,25,49,Basic,138.85,6874.19,150.57,42,2,Bank Transfer,Month-to-Month,Yes,No
10262,Female,68,58,Standard,123.51,7067.99,143.97,11,0,Online,Month-to-Month,Yes,Yes
10263,Male,59,56,Premium,93.91,5167.81,167.53,28,0,Bank Transfer,Two Year,No,No
